,album titles,artists,cleaned_sentences
39,오늘밤 당산나무 아래서,추다혜차지스,추다 다투다 나오다 받다 오다 끄다 뭉치다 추다 서다 크다 되어다 잡다 걸치다 흐르다 두다 섞이다 떨리다 비다 살다 더불다 맡다 써다 내리다 부르다 재다 이루어지다 쓸다 열다 살리다 입히다 서다 담기다 지나치다 들다 나다
40,내면의 영화,서보경,만나다 나오다 듣다 듣다 넣다 들다 듣다 듣다 잊다 듣다 듣다 써다 내려가다 들다 바꾸다 빠지다 되어다 받다 받다 풀다 담기다 늘어나다 묻다 얻다 차다 들다 늘다 보내다 많아지다 많아지다 들다 흩다 뿌리다 듣다 흐르다 늘다 벗어나다 자다 이끌다 대다 겪다 들다 들다 사로자다
41,Good nights and Sad times,Faver(페이버),알리다 선보이다 해주다 오다 보여주다 오다 맞추다 만들다 벗어나다 넣다 치다 닮다 보여주다 떠올리다 남기다 맞다 알리다
42,통감,정수민(Sumin Jung),담다 드러내다 되어다 다가가다 밝히다 담다 실리다 흐르다 들다 사무치다 살다 잇다 흐르다 부르다 따라가다 가다 이끌다 끝나다 들리다 가르다 듣다 되어다 느껴지다 이루다 들다
43,갈 곳을 잃어도 어디든 흘러갈 수 있게,최예근,알리다 받다 배다 해내다 엿보다 해내다 늘다 떠올리다 알다 선보다 만들다 느끼다 받다 만들다 담다 내다 서다 해내다 아우르다 해내다 해내다
44,Rough and Rowdy Ways,Bob Dylan(밥 딜런),늘다 틀리다 거치다 돌다 일으키다 접다 들어서다 해오다 돌아보다 떨어뜨리다 늘다 받다 섞다 이어지다 주다
45,DETOX,BILL STAX(빌스택스),떨어지다 말다 늘다 사르다 손꼽다 불리다 되어다 담기다 꺼리다 돼다 불러일으키다 물러서다 맞서다 내다 나누다 엿보다 끼치다 깔다 펼치다 늘다 떨어지다 자아내다 모르다 더불다 되어다
46,The Colours,핑크노이즈(Pinknoize),짚다 모르다 넘다 넓히다 살리다 바꾸다 들다 끄덕이다 기대다 듣다 채우다 쌓이다 받다
47,Future Voice,히스(Hiss) & Madox,만들다 내다 듣다 펼치다 가져다주다 만나다 늘다 주다 만들다 내다 벗어나다 만들다 내다 내다 주다 오다 느끼다 사다 늘다 가지다 만나다 펼치다 만들다 가지다 만나다 넘다 갖추다 즐기다 듣다 그리다
48,Future Teenage Cave Artists,Deerhoof(디어후프),담기다 넘다 들다 그리다 내다 몰아치다 뚫다 나오다 넘다 가지다 해오다 채우다 넣다 담기다 끌다 올리다 가다 자다 곱씹다 오다 넘다 나오다 흔들리다 이루다 들다 오다 오다 가다 받다 바라다
49,Fetch The Bolt Cutters,Fiona Apple(피오나 애플),쏟아지다 내놓다 가다 얻다 자다 나오다 늘다 내놓다 뒤지다 매다 덧붙이다 보이다 어리다 맺다 보여주다 서다 서다 읽다 들다 닥치다 올리다 흔들다 두다 만들다 알다 따르다
