,album titles,artists,cleaned_sentences
776,Electric Light,James Bay(제임스 베이),아직 많이 가만히 없이 특히 특히 특히 오래 오랜
777,Left,Eric Roberson(에릭 로버슨),많이 자연스레
778,"PTX Presents: Top Pop, Vol. I",Pentatonix(펜타토닉스),특히
779,Konvicted,Akon(에이콘),
780,"우주의 먼지, 그러나 사랑 받았네",싱잉앤츠,우연히 아직
781,Back To Black,Amy Winehouse(에이미 와인하우스),
782,Once Again,John Legend(존 레전드),
783,KOD,J. Cole(제이콜),지극히 조금씩 조금씩 이미 아무래도 이미
784,The High Road,JoJo(조조),아직 많이
785,[3],오지은,
786,Deadpool 2 (Original Motion Picture Soundtrack),Various Artists,이미 대놓고
787,In My Mind,Pharrell(퍼렐),
788,에이프릴(APRIL) 5th Mini Album 'The Blue',에이프릴(APRIL),아직
789,Director,Avant(아방트),
790,A dream,김지수,이맘때 저렇게 많이
791,St. Elsewhere,Gnarls Barkley(날스 바클리),
792,Junk,Hailey Tuck(헤일리 턱),
793,In My Own Words,Ne-Yo(니요),
794,Red Diary Page.1,볼빨간사춘기,없이 왠지 언제나
795,Corinne Bailey Rae,Corinne Bailey Rae(코린 베일리 래),없이 한동안
796,제련해도,빈첸,특히
797,Unpredictable,Jamie Foxx(제이미 폭스),오랜
798,beerbongs & bentleys,Post Malone(포스트 말론),이미 자연스레 게을리 드디어 오랫동안 이미 그해 이로써 오래 그해 오래 빨리 드디어 없이
799,The Appetizer,Eric Roberson(에릭 로버슨),
800,Joyride,Tinashe(티나셰),오랜 특히
801,Simple Mind,Lim Kim,오랜
802,PCD,Pussycat Dolls(푸시캣 돌스),이미
803,"Charlie, Last Name Wilson",Charlie Wilson(찰리 윌슨),오랜
804,Remember - S.E.S. 20th Anniversary Special Album,S.E.S.,또는
805,State Of Mind,Raul Midon(라울 미동),특히 많이
806,Blooming Days - The 2nd Mini Album,EXO-CBX (첸백시),
807,Kem Album II,Kem(켐),특히
808,TOTAL XANARCHY,Lil Xan(릴 잰),아마도 아직 너무도 스멀스멀
809,Touch,Amerie(에이머리),
810,후일담 (REMASTERED),언니네 이발관,그만큼 너무나도
811,The Emancipation of Mimi,Mariah Carey(머라이어 캐리),
812,Sunset,92914,
813,O,Omarion(오마리온),팍팍
814,I am,(여자)아이들,특히 너무나 특히 너무나
815,Turning Point,Mario(마리오),
816,Wildness (Deluxe),Snow Patrol(스노우 패트롤),열심히
817,Time To Grow,Lemar(르마),
818,Sweet Dream,장나라,아무래도 많이 오랫동안 아마도
819,Goodies,Ciara(시아라),
820,Still Dreaming,Joshua Redman(조슈아 레드맨),언제나 열심히
821,I Hear a Song,Dami Im(임다미),왠지 없이
822,Vinicius Canta Antonio Carlos Jobim,Vinícius Cantuária(비니시우스 칸투아리아),많이
823,Saved,"Now, Now",아직 의외로
824,"Love, Simon (Original Motion Picture Soundtrack)",Various Artists,그만큼 아직
825,7,Beach House(비치 하우스),한없이
826,Earth One,Michelle Shaprow(미셸 샤프로),유난히 언제나 그만큼
827,DAYTONA,Pusha T(푸샤 티),특히 그야말로
828,얼리 맨 (Early Man) OST,Various Artists,없이 특히 없이 특히 하우 이미 하우
829,Next Season,Felix Cartal(펠릭스 카르탈),오랫동안 없이 드디어 그야말로 많이 그야말로
830,Portrait,픽보이(Peakboy),또는 한없이
831,YONG JUN HYUNG 1ST ALBUM 'GOODBYE 20's',용준형,
832,Man of the Woods,Justin Timberlake(저스틴 팀버레이크),오랫동안
833,Ordinary,크랙 비트(Crack Bit),언제나 이미
834,24 : How to find true love and happiness,혁오 (HYUKOH),없이
835,730,오로라스팅,특히
836,Yo Yo,이철휘 & 스페이스502 (CHUL HWEE LEE AND THE SPACE FIVE-O-TWO),아무래도 아마도
837,데카당,데카당,아직 적어도 아직 특히 아직
838,Surrender,Samuel Jack,언제나 아마도
839,MUGGLES' MANSION,코드 쿤스트,한없이 없이
840,코코 (Coco) OST,Various Artists,특히 오랫동안 오랫동안 특히
841,Isolation,Kali Uchis(칼리 우치스),오래 그만큼
842,Primal Heart,Kimbra(킴브라),없이
843,You're Driving Me Crazy,Van Morrison(밴 모리슨) & Joey DeFrancesco(조이 디프란체스코),이미 한껏
844,In the Shape of an Abandoned Cloud,Goro Ito(고로 이토/伊藤ゴロㅡ),많이
845,Cool Like You (Deluxe),Blossoms(블로섬즈),열심히
846,On Hold,Fenne Lily,한없이 오래
847,Elohim,Elohim(엘로힘),어쩔 없이
848,Treehouse,Sofi Tukker(소피 터커),아직 이미
849,"Love, Peace, Revolution",김박첼라,
850,The First Hope,NieN,의외로
851,The Neighbourhood [Deluxe Edition],The Neighbourhood(네이버후드),
852,Dead Serious,Das EFX(다스 이펙스),빨리 급기야
853,"3 Years, 5 Months And 2 Days In The Life Of...",Arrested Development(어레스티드 디벨롭먼트),때때로
854,Mack Daddy,Sir Mix-A-Lot,의외로
855,Death Certificate,Ice Cube(아이스 큐브),
856,Apocalypse 91… The Enemy Strikes Black,Public Enemy(퍼블릭 에너미),
857,The Low End Theory,A Tribe Called Quest(어 트라이브 콜드 퀘스트),그걸
858,Nature Of A Sista',Queen Latifah(퀸 라티파),
859,Naughty By Nature,Naughty By Nature(너티 바이 네이쳐),그해
860,Cypress Hill,Cypress Hill(사이프레스 힐),한때
861,Peaceful Journey,Heavy D(헤비 디) & The Boyz(더 보이즈),유난히 이미
862,EFIL4ZAGGIN,N.W.A.(엔더블유에이),나아
863,Step In The Arena,Gang Starr(갱 스타),
864,Quik Is The Name,DJ Quik,
865,Mama Said Knock You Out,LL Cool J(엘엘 쿨 제이),오랜 이른바 특히
866,AmeriKKKa's Most Wanted,Ice Cube(아이스 큐브),급기야
867,O.G. Original Gangster,Ice T(아이스 티),없이
868,Sex Packets,Digital Underground(디지탈 언더그라운드),
869,Blacks' Magic,Salt-N-Pepa(솔트 앤 페파),
870,Please Hammer Don't Hurt 'Em,MC Hammer(엠씨 해머),
871,Purple Skies (퍼플 스카이),Michelle Shaprow(미셸 샤프로),정말로 언제나
872,No Music No Travel,AV,
873,Where We Were Together,세이수미(Say Sue Me),조곤조곤 가만히 많이
874,This Too Will Pass,데이 오브 모닝(Day Of Mourning),아직 특히 한동안 이를테면 가히
875,Song Of April,이선지(Sunji Lee),특히 많이
876,Late Fall,송영주,
877,CHA EUN JOO,차은주,빨리 없이
878,봄,SOMA(소마),이미 특히 자연스레
879,Kiss Me,Moon (혜원),드디어 없이 이미 아무튼 이를테면 없이
880,모던민요,송소희 & 두번째달,특히 너무나도 수없이 특히
881,Golden Hour,Kacey Musgraves(케이시 머스그레이브스),
882,After Bach,Brad Mehldau(브래드 멜다우),언제나 아마도
883,The Questions,Kurt Elling(커트 엘링),조금씩
884,Firepower,Judas Priest(주다스 프리스트),아무리 그걸 이미 특히 언제나
885,I'm Bad Now,Nap Eyes,없이 특히 틀림없이 이래저래
886,Have Fun,Smerz(스머즈),적어도
887,The Kids Are Alright,Chloe x Halle,드디어
888,PRhyme 2,Prhyme,그해 특히
889,가을,다린,어김없이 아무리 아무리
890,Into The Woods,김성수 & 이건민,오랜 거진 없이
891,Jumpin' With B,Bomi Choi(최보미),오랜
892,HITCH,강이채,
893,TOMBOY,Toni Romiti(토니 로미티),
894,Control,Scumraid,이미 따로
895,New Chapter #1 : The Chance of Love - The 8th Album,동방신기 (TVXQ!),없이
896,PRISM,CIFIKA,많이 특히 적어도
897,Sabai,플러그드 클래식(Plugged Classic),그야말로 특히
898,언어,히피는 집시였다,
899,Sound Doctrine,나얼(Na-Ul),오랫동안 오랜
900,H.E.R.,H.E.R.,지극히 가만히
901,A Humdrum Star (Deluxe),GoGo Penguin(고고 펭귄),특히
902,JOEY.MONK.LIVE!,Joey Alexander(조이 알렉산더),이미 특히
903,First Light,Dan Michaelson(댄 마이클슨),아직 특히 없이
904,Hello My Friends,Galactic Marvl,왠지 특히
905,Black Panther The Album Music From And Inspired By,Kendrick Lamar(켄드릭 라마) & SZA,특히
906,Someone Out There,Rae Morris(레이 모리스),
907,여름깃,새소년,너무나 너무나 또는
908,WAY OF STEEL,피해의식,특히 오랫동안 없이
909,Morphology,Bellman(벨맨),간간히 오랜 언제나
910,서울 사람 (Seoul People),안재진 트리오(Ahn Jaejin Trio),아직 아마도
911,Inhz Compilation Vol.1 / Selected,Various Artists,많이 특히
912,Seoul Jazz,Django(쟝고),오랫동안 특히 한껏
913,Quiet But Strong,NEW ART TRIO,따로
914,Alexandrite,Hash Swan,특히 적어도
915,Time Machine Circuit,타임머신써킷(Time Machine Circuit),한때 열심히 없이 들썩
916,When,모나(MONA),
917,사랑의 시절,강아솔,그토록 없이
918,On Air (Deluxe),The Rolling Stones(롤링 스톤즈),없이 오래 또는 오랜 또는 없이 오래도록 오랜 많이 이미 이미 매주 없이 특히 없이 지극히
919,Seoulight,야광토끼(Neon Bunny),왠지 조금씩 조금씩 조금씩
920,Keeper Of The Seven Keys Part.I & II [Deluxe Edition],Helloween(헬로윈),하여간 오래 따로 그나마
921,Little Dark Age,MGMT(엠지엠티),왠지 그럭저럭
922,The Worm's Heart,The Shins(더 신스),이미 그만큼 특히 아직도 냅다
923,Songs Of Praise,SHAME,맘대로 드디어
924,Pure Comedy,Father John Misty(파더 존 미스티),조금씩 언제나
925,Blue Madonna,BØrns(본즈),
926,Common Ground,Above & Beyond,오랫동안 지극히 적어도
927,Ruins,First Aid Kit(퍼스트 에이드 킷),
928,Citizen Of Glass,Agnes Obel(아그네스 오벨),특히 많이
929,Ella And Louis [Verve Master Edition],Ella Fitzgerald(엘라 피츠제랄드) & Louis Armstrong(루이 암스트롱),그만큼 너무나 들썩
930,Only Human (Deluxe),Calum Scott,드디어 이미 한껏 특히 특히 오랫동안 오랜
931,사랑에 관한 각자의 기억,안녕의 온도,
932,?,XXXTENTACION,없이
933,Game Winner (Deluxe Edition),Joey Dosik,오랜 우연히 지극히
934,The Cloud Dream of the Nine,엄정화,언제나 언제나 특히 특히 너무나도 특히
935,SLATE,마틴스미스,어디서 아직 많이
936,30,NUZ(누즈),깊숙이
937,Unmasked: The Platinum Collection (Deluxe),Andrew Lloyd Webber(앤드류 로이드 웨버),오랫동안 오랫동안 특히 많이 지극히 이미 오래 특히 그야말로
938,...And Justice For All,Metallica(메탈리카),아마도 아마도 그런대로
939,살풀이,팎(PAKK),어디서
940,The Story of Us (Deluxe),Quinn XCII(퀸 나인티투),그야말로 특히
941,"종현 소품집 ""이야기 Op.1""",종현 (JONGHYUN),천천히
942,4 the Youth,JUSTHIS & Paloalto (저스디스 & 팔로알토),오랜
943,Thrush Metal,Stella Donnelly,
944,Nightfall,Till Bronner(틸 브뢰너) & Dieter Ilg,
945,NCT 2018 EMPATHY,NCT,드디어 드디어 엄청 많이 따로 특히
946,Forever Young,Nana Mouskouri(나나 무스쿠리),없이 많이 오랫동안 오랜 그토록 어쩔
947,LØVË,Aaron Carter(아론 카터),아무래도 많이 아무래도 오래 너무나도 많이 너무나
948,The Architect [Deluxe],Paloma Faith(팔로마 페이스),
949,에이프릴(APRIL) 2nd Mini Album 'Spring',에이프릴(APRIL),특히 없이
950,Live In Europe,Melody Gardot(멜로디 가르도트),
951,Metallica,Metallica(메탈리카),많이 특히
952,Slush Hours,Phlake(플레이크),특히 특히 이맘때
953,HEAVN,Jamila Woods(자밀라 우즈),이미
954,소외(疏外),YB,의외로
955,Culture II,Migos(미고스),특히 이른바 없이 없이
956,던전,전자양,가히
957,Kiss My Lips - The 8th Album,보아 (BoA),이미 특히 특히 오랜
958,What If Nothing,Walk The Moon(워크 더 문),어디서
959,The Time Is Now (Expanded Edition),Craig David(크레이그 데이빗),많이 많이
960,Language,Starchild & The New Romantic(스타차일드 앤 더 뉴 로맨틱),특히 그만큼 없이 또는
961,Into The Light,Gloria Estefan(글로리아 에스테판),
962,Hysteria (Deluxe),Def Leppard(데프 레파드),지극히 아마도
963,Fifty Shades Freed (Original Motion Picture Soundtrack),Various Artists,이른바 갈아 이미 기꺼이 아직 이미 이미 수없이 없이
964,Romanza (20th Anniversary Edition / Deluxe),Andrea Bocelli(안드레아 보첼리),울컥
965,23,혁오 (HYUKOH),없이 언제나 한없이 말끔
966,Jungle Rules,French Montana(프렌치 몬타나),되게
967,Songs For Swingin' Lovers! (Remastered),Frank Sinatra(프랭크 시나트라),끝없이 없이 이미 드디어 해마다
968,Tales Of Us (Deluxe Edition),Goldfrapp(골드프랩),언제나 언제나 한발 언제나 그야말로 간간히
969,We Hate All Kinds Of Violence,H.O.T.,적어도 아무리 아직 특히 아낌없이 조금씩 아직
970,Conscious,Guy Sebastian(가이 세바스찬),아직도 특히 왠지
971,너에게로 날자,이브(Eve),오랜 오래 오랜 오랜
972,Camila,Camila Cabello(카밀라 카베요),의외로 이미
973,Time Travel (시간여행),김광민,많이 없이 많이 이미
974,고고학자,9,이미
975,Midnight Snack,Homeshake,없이 끄적 우연히 오랜
976,EVER,정세운,많이 어쩔 많이
977,3,조정치,자연스레 그만큼
978,에펠탑 효과,오추프로젝트,한결같이 특히
979,꽃,언타이틀(Untitle),
980,reputation,Taylor Swift(테일러 스위프트),이른바 수없이 많이 갈아 이미 이미 이미 언제나 오랫동안
981,Supersonic,윤하(Younha/ユンナ),너무나도 아직 너무나도
982,"Mind, Body & Soul (Original Version)",Joss Stone(조스 스톤),
983,Happy People/U Saved Me,R. Kelly(알 켈리),
984,Lyfe 268-192,Lyfe Jennings(라이프 제닝스),
985,Complex Simplicity,Teedra Moses(티드라 모세스),
986,Hurt No More,Mario Winans(마리오 와이넌스),
987,Aromanticism,Moses Sumney(모세 섬니),없이 없이 그건 오래도록
988,Confessions (Expanded Edition),Usher(어셔),이미
989,Dreams,The Whitest Boy Alive(화이티스트 보이 얼라이브),우연히
990,Bravebird,Amel Larrieux(에이멜 라리유),
991,Blackstar,David Bowie(데이빗 보위),
992,Tasty,Kelis(켈리스),많이
993,"새봄, 03 소품집 '겨울 우리'",새봄(Saevom),
994,The Diary Of Alicia Keys,Alicia Keys(앨리샤 키스),이미
995,The Perfect Red Velvet - The 2nd Album Repackage,Red Velvet (레드벨벳),언제나 의외로 또는 너무나 오랜 너무나
996,Javier,Javier(하비에르),
997,A Moment Apart,ODESZA(오데자),어디서 너무도 이미
998,Comin' From Where I'm From,Anthony Hamilton(앤소니 해밀튼),오랜
999,Blood,Rhye,특히
1000,Dangerously In Love,Beyoncé(비욘세),오래
1001,NO ONE EVER REALLY DIES,N.E.R.D(엔이알디),그야말로 없이 되게 아마도
1002,Seal IV,Seal(실),그만큼 특히
1003,Poet | Artist,종현 (JONGHYUN),드디어 가만히 아직 적어도
1004,After The Storm,Monica(모니카),많이
1005,Dance With My Father,Luther Vandross(루더 반드로스),
1006,Warhaus,Warhaus,지극히
1007,Subject,Dwele(드웰르),없이
1008,fuckingmadness,김오키(Kim O Ki),너무나도 또다시 많이 수없이 적어도
1009,Body Kiss,Isley Brothers(아이즐리 브라더스),없이
1010,Umbrella,Shimizu Shota(시미즈 쇼타/淸水翔太),특히 특히 우연히 열심히 유난히
1011,One Step Forward,Les Nubians,
1012,Difference,윤도현,아무튼 열심히 드디어 어렴풋이 너무나 특히 많이
1013,Pandemonium!,B2K(비투케이),한껏 괜히
1014,Justified,Justin Timberlake(저스틴 팀버레이크),한때
1015,M A N I A,Fall Out Boy(폴 아웃 보이),오래 아직 없이 없이
1016,Floetic,Floetry(플로트리),
1017,The Headphone Masterpiece,Cody Chesnutt(코디 체스넛),
1018,Instant Vintage,Raphael Saadiq(라파엘 사딕),
1019,Juslisen,Musiq Soulchild(뮤지크 소울차일드),없이
1020,Ashanti,Ashanti(아샨티),
1021,The Way I Feel,Remy Shand(레미 쉔드),한때 많이 특히
1022,MTV Unplugged No. 2.0,Lauryn Hill(로린 힐),
1023,Full Moon,Brandy(브랜디),급기야
1024,Invincible,Michael Jackson(마이클 잭슨),
1025,Lickin' On Both Sides,Mis-Teeq(미스-티크),
1026,Mahogany Soul,Angie Stone(앤지 스톤),
1027,Nivea,Nivea(니베아),이미 이리저리 특히
1028,american dream,LCD Soundsystem(엘씨디 사운드시스템),언제나 언제나
1029,This Is Acting (Deluxe Version),Sia(시아),
1030,The Beautiful & Damned,G-Eazy(지 이지),어김없이 오랜 그만큼
1031,The Id,Macy Gray(메이시 그레이),
1032,1st Born Second,Bilal(비랄),
1033,Survivor,Destiny's Child(데스티니스 차일드),한없이
1034,Ghetto Love,Jaheim(자하임),자연스레 지극히
1035,Acoustic Soul,India.Arie(인디아 아리),
1036,J.Lo,Jennifer Lopez(제니퍼 로페즈),
1037,Mama's Gun,Erykah Badu(에리카 바두),
1038,Lovers Rock,Sade(샤데이),
1039,Dance With Me,Debelah Morgan(디벨라 모건),이미
1040,Born To Do It,Craig David(크레이그 데이빗),한동안 빨리 많이
1041,Mirror Mirror,Kelly Price(켈리 프라이스),
1042,Lucy Pearl,Lucy Pearl(루시 펄),
1043,Thankful,Mary Mary(메리 메리),그만큼
1044,The Heat,Toni Braxton(토니 브랙스톤),이미 또다시 조금씩
1045,Fear Of Flying,Mya(마야),특히
1046,My Name Is JOE,Joe(조),특히
1047,Voodoo,D'Angelo(디안젤로),
1048,3-D The Catalogue,Kraftwerk(크라프트베르크),조금씩 한껏 없이
1049,The Secret Of Color,이승철,많이 많이 많이 많이 그만큼
1050,SUNRISE,DAY6 (데이식스),그만큼
1051,RescuE,윤하(Younha/ユンナ),특히 너무나도
1052,Kind Of Blue,Miles Davis(마일즈 데이비스),많이
1053,Southern Skies [Deluxe Ver.],Gabriel Tajeu(가브리엘 테쥬),오래
1054,호소(虎訴),호랑이아들들,이미 자연스레 나아
1055,TRES BONBON,AASSA(앗싸),일부일 오랜
1056,WASD,화지(Hwaji),특히
1057,전체이용가,OLNL (오르내림),한때 특히 오랫동안 특히 자연스레
1058,Rise From The Ashes,이루리,특히
1059,Last of Everything We Were,Kisnue(키스누),
1060,Beyond Boundaries,지선 트리오,언제나 오랜
1061,Good Afternoon,드포즈(De Pause),언제나 오랜
1062,Ivy To Roses (Mixtape),Mabel(메이블),많이 한때 특히
1063,Olaf's Frozen Adventure (Original Soundtrack),Various Artists,많이 오래간만 이미
1064,six senses,더 이스트라이트(TheEastLight.),없이 우연히
1065,Encore,Anderson East(앤더슨 이스트),없이 한없이 되게 한껏 특히
1066,...Like Clockwork,Queens Of The Stone Age(퀸스 오브 더 스톤 에이지),
1067,"Everybody Else Is Doing It, So Why Can't We?",The Cranberries(크랜베리즈),한때 특히 특히
1068,Future Friends,Superfruit,이미
1069,More Than You Know,Axwell ^Ingrosso(악스웰^인그로소),
1070,정규 4집 'ME',원써겐(1sagain),우연히
1071,Any Other Way,Jackie Shane,오랜 이왕
1072,비밀정원,오마이걸(OH MY GIRL),특히 그만큼
1073,Bury The Hatchet,Jay-Jay Johanson(제이 제이 요한슨),
1074,Medina,Raffaele Casarano,아직
1075,페르디난도 (Ferdinand) OST,Various Artists,언제나
1076,Extended Play (Live At Birdland),Dave Holland Quintet,오랜 없이
1077,Day Off,베란다 프로젝트(Verandah Project),어쩔 지극히 지극히 특히 키득키득 특히
1078,Songs Of Experience,U2(유투),특히
1079,Back At One,Brian McKnight(브라이언 맥나이트),
1080,Pop 2,Charli XCX(찰리 엑스씨엑스),
1081,Life's Aquarium,Mint Condition(민트 컨디션),
1082,Rise,Gabrielle(가브리엘),그만큼 없이
1083,Black Diamond,Angie Stone(앤지 스톤),특히
1084,The Writing's On The Wall,Destiny's Child(데스티니스 차일드),
1085,702,702,
1086,Blaque Ivory,Blaque(블라크),
1087,A Day In The Life,Eric Benét(에릭 베넷),
1088,Where I Wanna Be,Donell Jones(도넬 존스),
1089,Fanmail,TLC(티엘씨),
1090,1992-1999 [Deluxe Remastered Edition],노이즈가든(Noizegarden),골고루 가히
1091,Miracle,보아 (BoA),열심히 저렇게 한없이 열심히 간질간질 열심히
1092,Soul Free,브라운 아이드 소울(Brown Eyed Soul),없이 많이 없이 없이
1093,Heartbreak on a Full Moon,Chris Brown(크리스 브라운),이미 따로 남김없이 아무래도 그만큼
1094,Enter The Dru,Dru Hill(드루 힐),언제나 그만큼 골고루 없이
1095,From The Soul Of Man,Kenny Lattimore(케니 래티모어),
1096,One Wish,Deborah Cox(데보라 콕스),
1097,The Miseducation Of Lauryn Hill,Lauryn Hill(로린 힐),그만큼
1098,Black Angel,Mica Paris,조금씩
1099,The Boy Is Mine,Monica(모니카),특히
1100,Soul Of A Woman,Kelly Price(켈리 프라이스),
1101,Embrya,Maxwell(맥스웰),많이
1102,Never Say Never,Brandy(브랜디),
1103,Tamia,Tamia(타미아),많이
1104,눈썹달,이소라,특히 없이
1105,Whistle In A Maze,하림,또는 너무나도
1106,답장,김동률,너무나도 지극히 따로
1107,Forced Witness,Alex Cameron(알렉스 카메론),찰칵 그야말로 이미
1108,Fairy Tales,Divine(디바인),
1109,Levert.Sweat.Gill,LSG(엘에스쥐),이미
1110,Babyface Unplugged NYC 1997,Babyface(베이비페이스),
1111,All Saints,All Saints(올 세인츠),그만큼
1112,Much Love,Shola Ama(숄라 애마),
1113,The Velvet Rope,Janet Jackson(자넷 잭슨),
1114,All That I Am,Joe(조),이미
1115,Lovelyz 3rd Mini Album [Fall in Lovelyz],러블리즈(Lovelyz),많이 특히 많이
1116,My Way [Clean Version],Usher(어셔),
1117,Butterfly,Mariah Carey(머라이어 캐리),오랜
1118,笛社會 (피리사회),Kuricorder Quartet(쿠리코더 콰르테트/栗コ-ダ-カルテット),많이 많이
1119,Love Always,K-Ci & Jojo(케이시 앤 조조),
1120,The ジブリ(Ghibli) Set,Daishi Dance(다이시 댄스),오래도록
1121,Allure,Allure(알루어),빈번히
1122,Gossip Columns,Marc E. Bassy(마크 이 배시),
1123,Adriana Evans,Adriana Evans(아드리아나 에반스),
1124,The Thrill Of It All (Special Edition),Sam Smith(샘 스미스),따로 아직 특히 아직 특히 특히
1125,러브 존스 (Love Jones),Various Artists,없이
1126,4men 1st Live Album,포맨 (4MEN),많이 많이 왠지 푹푹
1127,Baduizm,Erykah Badu(에리카 바두),그만큼
1128,GRAND CARNIVAL,다이나믹 듀오,
1129,Rahsaan Patterson,Rahsaan Patterson(라산 패터슨),그야말로
1130,War & Leisure,Miguel(미구엘),
1131,THE DAY,Babyface(베이비페이스),
1132,Hotel California [40th Anniversary Expanded Edition],Eagles(이글스),
1133,Ginuwine ... The Bachelor,Ginuwine(지누와인),
1134,El Radio (엘 라디오),Chris Garneau(크리스 가르노),많이 다각도로
1135,Home Again,New Edition(뉴 에디션),이미
1136,1-1=0 (NOTHING WITHOUT YOU),Wanna One(워너원),많이 특히 특히 많이
1137,Another Level,Blackstreet(블랙스트리트),그만큼 특히
1138,112,112(One Twelve),그만큼 이미
1139,California Dream,씨야(SeeYa),많이 하나같이 많이
1140,Keith Sweat,Keith Sweat(키스 스웨트),
1141,inside,양다일,많이 너무나 없이 많이 가득가득 너무나도
1142,Format,Fisherman & 구원찬,
1143,Peace Beyond Passion,Me'Shell NdegeOcello(미셸 은디지오첼로),
1144,Az Yet,Az Yet(애즈 예트),특히
1145,Return Of The Mack,Mark Morrison(마크 모리슨),
1146,Maxwell's Urban Hang Suite,Maxwell(맥스웰),
1147,Total,Total(토탈),이미 수없이
1148,Swim Inside The Moon,Angelo De Augustine(앤젤로 데 어거스틴),아마도 특히
1149,I Wouldn't Be - EP,Kodaline(코다라인),조금씩
1150,DEAR : X,1415,
1151,BORN,SONIC STONES(소닉 스톤즈),
1152,Culture,Migos(미고스),꽉꽉 없이
1153,꽃갈피 둘,아이유(IU),
1154,Words,The Tony Rich Project(토니 리치 프로젝트),
1155,Your Secret Love,Luther Vandross(루더 반드로스),이미 그만큼 없이 유난히
1156,Original,Chaboom(차붐),너무나도
1157,Richter: Three Worlds: Music From Woolf Works,Max Richter(막스 리히터),오래 가만히 이미
1158,Kids in Love,Kygo(카이고),특히 많이
1159,"현실, 적",제리케이(Jerry. K),
1160,Something To Tell You,HAIM(하임),어디서
1161,MOVE - The 2nd Album,태민 (TAEMIN),이미 수줍어하 아직
1162,Slowdive,Slowdive(슬로우다이브),이미 없이 수없이 없이
1163,Korean Dream,비프리(B-Free),
1164,LOVE YOURSELF 承 'Her',방탄소년단,그야말로 한동안
1165,겨울 스페셜 앨범 '12월의 기적 (Miracles in December)’,EXO,특히 많이 특히 특히 아직 많이 너무나도
1166,파급효과 (Ripple Effect),저스트뮤직 (Just Music),
1167,Concerto Grosso N. 1,New Trolls(뉴 트롤스),곧이어 너무나도
1168,Funk Wav Bounces Vol.1,Calvin Harris(캘빈 해리스),없이 많이
1169,11:11,일리네어 레코즈(ILLIONAIRE RECORDS),
1170,Saturn Over Sunset,Midnight Sister,없이
1171,gOld,허클베리피(Huckleberry P),오래 특히
1172,동행,김동률,언제나 우연히 너무나 언제나 왠지
1173,Eat,화지(Hwaji),이미 없이
1174,Chief Life,팔로알토 (Paloalto),
1175,kimdongrYULE,김동률,왠지 너무나 너무나
1176,Hi-Life,Various Artists,그만큼
1177,The Star - Original Motion Picture Soundtrack,Various Artists,특히
1178,1집 : Rap Legend,수퍼비,특히 적어도 특히
1179,비공식적 기록 II,JJK,너무나
1180,"HELLO, MY NAME IS INSECURE.",A.TRAIN(에이트레인),
1181,One More Light Live,Linkin Park(린킨 파크),오랜 특히
1182,MOONRISE,DAY6 (데이식스),
1183,탑승수속,오케이션(Okasian),없이 특히
1184,젊은이,유하,
1185,Snow,Angus & Julia Stone(앵거스 앤 줄리아 스톤),언제나 없이 없이 유난히 아무리 언제나
1186,Close To You,김주환,특히
1187,2 4 : 2 6,빈지노(Beenzino),아직도
1188,Dancing Without Moving,고희안 트리오(KoHeean Trio),따로
1189,Winter Magic,Hilary Stagg,이맘때 그만큼 이미
1190,The Orange,빌리카터(Billy Carter),아무래도 특히 이른바 아직도
1191,치명적인 앨범,기리보이,적어도
1192,She Is Seventeen,버닝 햅번(Burning Hepburn),오래 그걸 자연스레 한때
1193,Don't Worry,허규,아마도 오랜 오랜 빨리
1194,M.O.B,노이즈맙(Noise Mob),
1195,종현 소품집 '이야기 Op.2',종현 (JONGHYUN),엄청 많이 많이 많이
1196,"열꽃, Part 1",타블로(Tablo),그만
1197,Alone,iwamizu(이와미즈),없이 너무나 없이 너무나 달그락
1198,Waiting To Exhale (Original Soundtrack Album),Various Artists,
1199,Master Of Puppets (Deluxe Box Set / Remastered),Metallica(메탈리카),이른바 이른바 풀풀 가히 이미 특히 너무도 가히 아마도 이른바 어쩔 아마도 한때 많이
1200,Groove Theory,Groove Theory(그루브 씨어리),그만큼
1201,Her,DPR LIVE,없이 왠지 없이
1202,Faith,Faith Evans(페이스 에반스),
1203,Waves,Rachel Platten(레이첼 플랫튼),
1204,Reflections,After 7(애프터 세븐),특히
1205,Heavy Deep,딥플로우,오랜
1206,위대한 쇼맨 (The Greatest Showman) OST,Various Artists,골고루
1207,Upgrade Ⅱ,스윙스(Swings),언제나
1208,Brown Sugar,D'Angelo(디안젤로),그만큼
1209,GD&TOP,GD & TOP,
1210,상사몽(相思夢) - 모던 가야금,정민아,많이 우연히 한동안 열심히
1211,Lifes Like,재지팩트(Jazzyfact),
1212,This Is How We Do It,Montell Jordan(몬텔 조단),
1213,Garion 2,가리온(Garion),오랜 오랜 특히
1214,Illvibrative Motif,재지 아이비(Jazzy Ivy),많이
1215,City Music,Kevin Morby(케빈 모비),언뜻언뜻 아마도
1216,Microsuit,펜토(Pento),이미
1217,Perfect Velvet - The 2nd Album,Red Velvet (레드벨벳),스멀스멀 이미
1218,Go Easy,버벌진트(Verbal Jint),
1219,Serenity,신혜성,없이 특히 한껏 아직 없이
1220,Quiet Storm - A Night Record,The Quiett,
1221,Under The Influence (Ultimate Edition),Straight No Chaser(스트레이트 노 체이서),많이
