,album titles,artists,cleaned_sentences
237,Our love is great,백예린 (Yerin Baek),깊숙이
238,Carrier,끝없는잔향속에서우리는 & Eyre Llew,
239,playbook,놀이도감 (김춘추),
240,AWAKE,JBJ95,
241,HBRTRX Vol.2,Various Artists,말끔
242,Make One's Way,Adios Audio,특히 특히
243,슈가레인,진달래밴드,한결같이 우우
244,Life Cycle,Dellan Afuz & Easymind,오랫동안 없이
245,Stormy Flute Vol.1,이규재 오아시스,조금씩 오래 없이
246,4th Lee Han Jin band With You,이한진,
247,Raggamuffin SoundTape,Shy FX(샤이 에프엑스),
248,Sucker Punch,Sigrid(시그리드),
249,Empath (Deluxe Edition),Devin Townsend(데빈 타운센드),
250,My Finest Work Yet,Andrew Bird(앤드류 버드),
251,Old Town Road (Remix),Lil Nas X,언제나 지극히 그만큼
252,When I Get Home,Solange(솔란지),그만큼
253,Infinity,Tom Harrell(톰 해럴),특히
254,The Secret Between the Shadow and the Soul,Branford Marsalis Quartet(브랜포드 마샬리스 쿼텟),오랜 오랜
255,THIRSTY,검정치마,
256,선데이서울 Ep.2,uju(우주),한껏
257,YOU'VE NEVER HAD IT SO GOOD,로큰롤라디오(ROCK N ROLL RADIO),적어도 이대로 없이 그만큼 이래저래
258,너의 가림막,프레드,특히
259,Wireless,신지훈(Jihoon Shin),그중
260,World War Joy,The Chainsmokers(체인스모커스),어쩔
261,[X X],이달의 소녀,한발
262,You had to be there,MUNCHEESE,특히
263,Gallipoli,Beirut(베이루트),틀림없이 특히
264,Composure,임미정(Lim Mi Jung),드디어 오랜 많이
265,This Land,Gary Clark Jr.(게리 클락 주니어),
266,Far Out Dust,Talos,많이 특히
267,‡,All Hail The Silence,
268,While We Wait,Kehlani(켈라니),없이 한동안 특히
269,Please Me,Cardi B(카디 비) & Bruno Mars(브루노 마스),특히 이를테면
270,For Centennial Reasons: 100 Year Salute To Nat King Cole,The John Pizzarelli Trio,그중 그중
271,The Gleaners,Larry Grenadier(래리 그레나디어),
272,새벽녘,하비누아주,특히
273,amo,Bring Me The Horizon(브링 미 더 호라이즌),
274,Heard It In A Past Life,Maggie Rogers(매기 로저스),특히
275,darkness at play,anaiis,많이
276,안녕,숀(SHAUN),
277,오리엔테이션,최엘비(CHOILB),그만큼 없이 드디어 이른바 특히
278,LIFE'S A LOOP,담예(DAMYE),특히 없이 없이
279,It's A Wonderful Life!,T-Square(티-스퀘어),오랜 없이 없이
280,Musical Prophet: The Expanded 1963 N.Y. Studio Sessions,Eric Dolphy(에릭 돌피),하나같이 그중
281,Pathetic Memory,박기훈,오랜 그만큼
282,Entropy,이선재(Sunjae Lee),없이
283,Everythings For Sale,Boogie(부기),없이 특히
284,Assume Form,James Blake(제임스 블레이크),많이
