,album titles,artists,cleaned_sentences
54,Big Vicious,Avishai Cohen(아비샤이 코헨) & Big Vicious,어색하다 굵직하다 다양하다 정갈하다 이렇다 어색하다 색다르다 음산하다 시르다
55,Gigaton,Pearl Jam(펄 잼),밋밋하다 낡다 신선하다 좋다 가득하다 잔잔하다 경건하다 이렇다 강하다 세련되다 위대하다 대단하다
56,Superstar,Caroline Rose(캐롤라인 로즈),기묘하다 무리다 심심하다 선명하다 성숙하다 명확하다 솔직하다 진지하다 드라마틱하다 드라마틱하다 조화롭다 다양하다 스럽다 여전하다 가득하다
57,The Slow Rush,Tame Impala(테임 임팔라),완벽하다 치밀하다 재미있다 아프다 생소하다 좋다 불타다
58,Have We Met,Destroyer(디스트로이어),편안하다 아늑하다 다양하다 힘들다 뛰어나다 밉다 어떻다
59,The Music of Wayne Shorter,Wynton Marsalis(윈튼 마살리스) & Jazz At Lincoln Center Orchestra,부지런하다 진지하다 방만하다 새롭다 선명하다 좋다 헷갈리다 조화롭다 젊다 세련되다
60,WHO (Deluxe),The Who(더 후),유력하다 위대하다 드물다 묵직하다 강력하다 상실하다 못지않다 찬란하다 많다 냉정하다 힘들다 뛰어나다
61,color theory,Soccer Mommy,새롭다 새롭다 많다 우울하다 진지하다 명확하다 나른하다 심심하다 여전하다 비범하다
62,Prophecy,Qwestlife(퀘스트라이프),확실하다 강력하다 이러하다 어렵다 단순하다 화려하다 유일하다 이렇다 분명하다 단단하다 지루하다 어렵다
63,RUDEBWOY,CJ Fly,확실하다 그러하다 젊다 화하다 더하다 탁월하다 분명하다 거창하다 좋아하다 탄탄하다 만족스럽다
64,SADAO 2019 - Live at Blue Note Tokyo,Sadao Watanabe(사다오 와타나베/渡邊貞夫),해롭다 다양하다 고소하다 멋지다 특별하다 적절하다 잔잔하다 섬세하다 더하다 더하다 아름답다 건강하다
65,Countless Branches [Deluxe Edition],Bill Fay(빌 페이),깊다 연하다 의하다 드라마틱하다 속절없다 안타깝다 순수하다 선명하다 아름답다 더하다 소중하다 충실하다 멀다 처절하다 여전하다 짧다 힘겹다 숭고하다 아름답다 초라하다 진실되다 깊다
66,신나게 놀아보자,하헌진 밴드,신나다 신나다 흥겹다 신나다 새롭다 새롭다 흔하다 신나다 편하다 자유롭다 깊다 아쉽다 넘치다 적절하다
67,The Savoy 10-inch LP Collection,Charlie Parker(찰리 파커),인하다 새롭다 느리다 유머러스하다 신선하다 새롭다 더하다 빠르다 의하다 영원하다
68,Melt (Deluxe),SHAED,많다 뛰어나다 충실하다 유일하다 어떻다 궁금하다
69,Fuck The World,Brent Faiyaz,탁월하다 여전하다 다르다 다양하다 많다 중요하다 가깝다 강하다 진부하다 탁월하다 생소하다 멀다 강하다
70,Blue Peter,AprilBlue,굵직하다 탄탄하다 다양하다 산만하다 포근하다 비장하다 부유하다 가녀리다 청량하다 아름답다 동일하다 흥미롭다
71,titbit,코어매거진 (COREMAGAZINE),충실하다 유약하다 강렬하다 매끈하다 정교하다 편하다 차갑다 탁월하다 연하다 화려하다 단단하다 멋지다 넘치다 물씬하다 기묘하다 충실하다 확실하다
72,OTHERLiiNE,OTHERLiiNE & George Fitzgerald & Lil Silva(릴 실바),다르다 얌전하다 두렵다 주도하다 명확하다 작다
73,Please Excuse Me For Being Antisocial,Roddy Ricch,이렇다 중요하다 확실하다 탁월하다 흥미롭다 노랗다 수많다 확실하다 평범하다 옅다 아쉽다 만족스럽다
74,Sunlight,젠틀 레인(Gentle Rain),강력하다 어색하다 변하다 차분하다 조용하다 현란하다 화려하다 이렇다 다양하다 자연스럽다 중요하다 활발하다 충분하다 다양하다 따뜻하다 활기차다 경쾌하다
75,사랑으로,혁오 (HYUKOH),기대하다 다르다 좋다 낮다 흔하다 철저하다 대담하다 짜릿하다 몰락하다 범상하다 연결하다 그립다 새롭다
76,Slow Dance,아슬(Aseul),다양하다 주도하다 분명하다 드물다 꾸준하다 성하다 매끈하다 새롭다 신선하다 차분하다 적당하다 색다르다 나른하다 절묘하다 훌륭하다
77,Plantlife,Andy Compton,낯설다 줄기차다 손쉽다 어렵다 충실하다 강하다 확실하다 어렵다 방대하다 지루하다
78,Circles,Mac Miller(맥 밀러),폭넓다 요란하다 간결하다 여전하다 무겁다 순수하다 우울하다 여전하다 어렵다 극심하다 슬프다 안타깝다
79,너와 나,루시드폴,사랑스럽다 행복하다 넘치다 담백하다 익숙하다 신선하다 사랑스럽다 더하다 어떻다 어떻다 흔하다 드물다
80,Beautiful days,밴드기린 (Bandgirin),단조롭다 성하다 흥겹다 풋풋하다 탄탄하다 다양하다 충분하다 다르다 분명하다 괜찮다 기대하다 젊다 건강하다
81,I,OurR(아월),어렵다 독특하다 다르다 어렵다 대단하다 놀랍다 짧다 정확하다 선명하다 지루하다 세련되다 강렬하다 매끈하다 갑작스럽다 매끈하다 정교하다
82,SONGBOOK,윤석철 트리오(SC Yun's Trio),즐겁다 새롭다 오래되다 꾸준하다 중요하다 대단하다 유쾌하다 이상하다 즐겁다 넘치다 익숙하다 아름답다 많다 많다 이렇다 즐겁다
83,VINIOR Vol. 002,Various Artists,섬세하다 아쉽다 이렇다 치열하다 확고하다 섬세하다 짜릿하다 확실하다 시원하다 세련되다 어떻다 좋다 손쉽다 짧다 이러하다
84,토닥토닥 (Full Album),어른아이(Adultchild),아름답다 반갑다 섬세하다 맑다 투명하다 차분하다 아름답다 여전하다 우울하다 다르다 쓸쓸하다 굳다 촉촉하다 상쾌하다 애틋하다 순수하다 여전하다 따스하다 가득하다 깊다 쓸쓸하다 당연하다 소소하다 소박하다 진솔하다 아름답다
85,FLAME,BLNK,진하다 남다르다 연하다 충분하다 다양하다 화려하다 진하다 특별하다 이러하다 부족하다 독특하다 칠하다 확실하다
86,We're dreaming,The Funcity(펀시티),청량하다 청량하다 달콤하다 설레다 멋지다 다양하다 괜찮다 화사하다 폭넓다 더하다 잔잔하다 많다
87,Live At Tone Studio,김성화 그룹(Kim Seong Hwa Group),분주하다 진지하다 드물다 신선하다 이렇다 바쁘다 이렇다 섬세하다 가능하다 세련되다 고요하다 잔잔하다 적당하다 뜨겁다 느리다
88,HYPER ROMANCE Vol. 1,Various Artists,주목할만하다 고프다 강하다 충분하다 예사롭다
89,Serenade,선우정아(Sunwoojunga),중요하다 주도하다 짜릿하다 다양하다 뚜렷하다 완벽하다 즐비하다 평범하다 평범하다 특별하다 아무렇다
90,Every letter I sent you.,백예린 (Yerin Baek),탁월하다 높다 새롭다 든든하다 대단하다 이러하다 기대하다 성실하다 견고하다 가능하다 세련되다 탄탄하다 폭넓다 깊다 세련되다 매끄럽다 유연하다 섬세하다 끊임없다 의하다 진하다 탁월하다 높다 마땅하다 두드러지다 화려하다
91,3,향니,무의미하다 많다 초라하다 유일하다 지루하다 솔직하다 스럽다 짜증나다
92,Step into my mind,노태헌(Taeheon Noh),중요하다 어렵다 뛰어나다 높다 탁월하다 많다 더하다 좋아하다 넘치다
93,LUCID,JIDA(지다),적합하다 이렇다 따뜻하다 철저하다 세련되다 쉽다 확실하다
94,누워버릴까,잠비노 (Jambino),독특하다 강력하다 다르다 멀다 간드러지다 독특하다 흥미롭다 어설프다 좋다
95,초심 (初心),김훨,폭넓다 새롭다 쓸쓸하다 광활하다 잔잔하다 깊다 슬프다 담담하다 수상하다 진부하다 흥겹다 자유분방하다 불과하다 폭넓다 높다 기대하다
96,서울시 여러분,9와 숫자들,익숙하다 잔잔하다 어떻다 다르다 수많다 가득하다 평범하다 경쾌하다 묵직하다 우아하다 망하다 익숙하다 다르다 잔잔하다
97,무경계,COSMOS,어수선하다 놀랍다 신비롭다 새롭다 경쾌하다 훌륭하다 탄탄하다 아쉽다 훌륭하다
98,Escape,The Deep,탄탄하다 씁쓸하다 미미하다 탁월하다 특별하다 탄탄하다 좋다 흔하다 얇다 미묘하다
99,"김현철 10집 ""돛""",김현철,더하다 성하다 겸손하다 다분하다 위대하다 겸손하다 알맞다 애틋하다 훌륭하다 진하다 변하다 뭉클하다 가득하다 여전하다 노련하다 충분하다
100,"Oh, Two Animals",오칠(Oh Chill),다행하다 나쁘다 아름답다 솔직하다 강하다 확실하다 노련하다 자유롭다 당연하다
101,Chronology Of A Dream: Live At The Village Vanguard,Jon Batiste,끊임없다 즐비하다 탄탄하다 멋지다 더하다 밉다 화려하다 현란하다
102,RENDEZ-VOUS,임현식 (비투비),탁월하다 높다 비범하다 다양하다 따스하다 차분하다 강렬하다 유연하다 흠잡다 세련되다 드라마틱하다 완벽하다 탁월하다
103,DEFINITION OF METHOD,메써드(Method),특정하다 어렵다 강하다 낡다 드라마틱하다 간결하다 빽빽하다 놀랍다 새롭다 여전하다 단단하다 현란하다 기대하다 정확하다 성장하다 좋다
104,Connexion [Jamais vu Remix],KONA,신선하다 좋다 어렵다 부족하다 다행하다 이렇다 어렵다 이렇다 신선하다 철저하다 지루하다 확실하다 다르다 남다르다 작다 건강하다 훌륭하다
105,살아 (SARA),얼돼(Errday Jinju),눈부시다 특별하다 좋다 좋다 다분하다 여전하다 높다 눈부시다 평범하다 탄탄하다 깊다 능숙하다 간지럽다 밉다 성공하다 섬세하다 희다 씁쓸하다 당혹스럽다 짜릿하다 명확하다
106,Your Portrait,강윤미,수많다 밉다 위대하다 이렇다 많다 좋다 이상하다 좋다 담백하다 밉다 유명하다 노랗다 화사하다 우아하다
107,Purpose - The 2nd Album,태연 (TAEYEON),훌륭하다 다양하다 깔끔하다 세련되다 훌륭하다 어떻다 유연하다 탁월하다 여전하다 색다르다 시원시원하다 화려하다 뚜렷하다 섬세하다 능숙하다
108,Everyday Life,Coldplay(콜드플레이),정확하다 어떻다 중요하다 아름답다 슬프다 충분하다 덤덤하다 흡사하다 약하다 담백하다
109,Good Faith,Madeon(마데온),대단하다 대단하다 아쉽다 다르다 많다 확실하다 많다 높다 어떠하다 확실하다 훌륭하다
110,The Baker,비앙(Viann),많다 묵묵하다 소홀하다 확실하다 탄탄하다 어렵다 오밀조밀하다 주도하다 앙이다
111,나의 놀이터,강현규,아름답다 길다 다르다 아름답다 아름답다 꾸준하다 더하다 더하다 두텁다 독특하다 적당하다 섬세하다 어떻다 어떻다 궁금하다
112,나의 모양,권진아,탁월하다 아름답다 뛰어나다 노련하다 깊다 원숙하다 다양하다 좋다 세련되다 좋다 섬세하다 애절하다 기대하다 훌륭하다 탁월하다 아름답다 유연하다 성장하다 기대하다
113,항해,AKMU (악동뮤지션),발랄하다 생기발랄하다 가득하다 성장하다 성숙하다 어떻다 진부하다 서늘하다 아름답다 설레다 따뜻하다 아름답다 예쁘다 재미없다 충분하다 신선하다 소박하다 진중하다 흥겹다 여전하다 발랄하다 멀다 광활하다 흥겹다 탁월하다 놀랍다
114,곡면,동양고주파,놀랍다 치밀하다 올바르다 이상하다 좋다 이렇다 지루하다 영리하다 아쉽다
115,999,전국비둘기연합,강렬하다 만족하다 다르다 그러하다 예리하다 화려하다 묵묵하다 멋지다 충분하다 간결하다 넘치다 드물다 짧다 날렵하다 강력하다 즐겁다
116,37C,러브엑스테레오(Love X Stereo),슬프다 좋다 외롭다 깊다 작다 다양하다 다르다 확실하다 완벽하다 확실하다 성공하다
117,Limbo,Gill Chang,폭넓다 부지런하다 빠르다 중요하다 만족스럽다 철저하다 짧다 이렇다 상당하다 흥미롭다 웬만하다 지루하다 이러하다 짧다 상당하다 두텁다 폭넓다 뚜렷하다
118,리듬 + 플로우(Rhythm + Flow Soundtrack: The Final Episode) (Music from the Netflix Original Series),Various Artists,완벽하다 다재다능하다 탁월하다 펀하다 가깝다 좋다 강력하다 강력하다
119,KAIROS,Nicole Bus,높다 생소하다 유명하다 탁월하다 성공하다 좋다 유명하다 무리다 멋지다 충실하다 세련되다 좋다 탄탄하다 좋다 적당하다
120,Trilogy 2 (Live),Chick Corea(칙 코리아) & Christian McBride(크리스찬 맥브라이드) & Brian Blade(브라이언 블레이드),색다르다 분주하다 대단하다 이렇다 아쉽다 색다르다 인하다 당연하다 중요하다 어떻다 좋다 진하다 훌륭하다 멋지다
121,Don't Explain,김민희,좋다 좋다 좋다 더하다 묵직하다 좋다 따뜻하다 흥겹다 발랄하다 감미롭다 오래되다 믿음직하다 쓸쓸하다 다양하다 아름답다 애잔하다 새롭다 깊다 궁금하다
122,Pang,Caroline Polachek,기괴하다 신비롭다 화사하다 신선하다 그립다 새롭다 만족하다 신비롭다 사랑스럽다 훌륭하다
123,Wildcard,Miranda Lambert(미란다 램버트),선명하다 확고하다 강인하다 높다 그러하다 흥겹다 진중하다 건강하다 분명하다 탄탄하다
124,Ocean,Lady Antebellum(레이디 앤터벨룸),충실하다 이렇다 부지런하다 탁월하다 변하다 새롭다 새롭다 여전하다 유효하다 흥겹다 아름답다 청량하다 즐겁다 애절하다 충실하다
125,All Mirrors,Angel Olsen(엔젤 올슨),깊다 흥미롭다 눈부시다 빠르다 확실하다 작다 작다 작다 다양하다 솔직하다 강렬하다 어설프다 미세하다 이렇다
126,Giants of All Sizes,Elbow(엘보우),독특하다 균일하다 드라마틱하다 유사하다 어둡다 음산하다 여전하다 많다 우아하다 멋지다 깊다 차갑다 가득하다 좋아하다 이렇다 어떻다 유일하다
127,Jeff Lynne's ELO - From Out Of Nowhere,Jeff Lynne's ELO,아름답다 좋다 좋아하다 소중하다 덜하다 깔끔하다 여전하다 좋아하다 좋다
